@RELATION adjustment
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE adjustment NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE health NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE women NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE 95 NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE factors NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE quality NUMERIC
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE reported NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE psychosocial NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE social NUMERIC
@ATTRIBUTE care NUMERIC
@ATTRIBUTE support NUMERIC
@ATTRIBUTE birth NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE among NUMERIC
@ATTRIBUTE outcome NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE rates NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE life NUMERIC
@ATTRIBUTE adjusted NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE fat NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE plasma NUMERIC
@ATTRIBUTE ratio NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE greater NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE ci NUMERIC
@ATTRIBUTE work NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE family NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE case NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE term NUMERIC
@ATTRIBUTE carotid NUMERIC
@ATTRIBUTE psychological NUMERIC
@ATTRIBUTE personal NUMERIC
@ATTRIBUTE measures NUMERIC
@ATTRIBUTE breast NUMERIC
@ATTRIBUTE regression NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE mass NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE cardiovascular NUMERIC
@ATTRIBUTE odds NUMERIC
@ATTRIBUTE self NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE method NUMERIC
@ATTRIBUTE conflict NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE examined NUMERIC
@ATTRIBUTE would NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE pretransplant NUMERIC
@ATTRIBUTE infants NUMERIC
@ATTRIBUTE therapy NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE per NUMERIC
@ATTRIBUTE lung NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE difference NUMERIC
@ATTRIBUTE longitudinal NUMERIC
@ATTRIBUTE obtained NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE nursing NUMERIC
@ATTRIBUTE physical NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE mortality NUMERIC
@ATTRIBUTE about NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE values NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE assessment NUMERIC
@ATTRIBUTE predicted NUMERIC
@ATTRIBUTE population NUMERIC
@ATTRIBUTE fluid NUMERIC
@ATTRIBUTE analyses NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE men NUMERIC
@ATTRIBUTE characteristics NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE assessed NUMERIC
@ATTRIBUTE smoking NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE child NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE oral NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE hospital NUMERIC
@ATTRIBUTE respiratory NUMERIC
@ATTRIBUTE young NUMERIC
@ATTRIBUTE four NUMERIC
@ATTRIBUTE heparin NUMERIC
@ATTRIBUTE cases NUMERIC
@ATTRIBUTE myocardial NUMERIC
@ATTRIBUTE multiple NUMERIC
@ATTRIBUTE home NUMERIC
@ATTRIBUTE subjective NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE mental NUMERIC
@ATTRIBUTE following NUMERIC
@ATTRIBUTE difficulties NUMERIC
@ATTRIBUTE pain NUMERIC
@ATTRIBUTE r NUMERIC
@ATTRIBUTE better NUMERIC
@ATTRIBUTE association NUMERIC
@ATTRIBUTE cross NUMERIC
@ATTRIBUTE assess NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE included NUMERIC
@ATTRIBUTE predictors NUMERIC
@ATTRIBUTE percentage NUMERIC
@ATTRIBUTE variables NUMERIC
@ATTRIBUTE incidence NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE individual NUMERIC
@ATTRIBUTE exposed NUMERIC
@ATTRIBUTE influence NUMERIC
@ATTRIBUTE adult NUMERIC
@ATTRIBUTE any NUMERIC
@ATTRIBUTE relationship NUMERIC
@ATTRIBUTE coping NUMERIC
@ATTRIBUTE current NUMERIC
@ATTRIBUTE independent NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE demographic NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE error NUMERIC
@ATTRIBUTE baseline NUMERIC
@ATTRIBUTE highest NUMERIC
@ATTRIBUTE acute NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE standard NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE endometrial NUMERIC
@ATTRIBUTE symptoms NUMERIC
@ATTRIBUTE adolescents NUMERIC
@ATTRIBUTE consonant NUMERIC
@ATTRIBUTE status NUMERIC
@ATTRIBUTE change NUMERIC
@ATTRIBUTE post NUMERIC
@ATTRIBUTE sexual NUMERIC
@ATTRIBUTE percent NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE aged NUMERIC
@ATTRIBUTE controls NUMERIC
@ATTRIBUTE posttransplant NUMERIC
@ATTRIBUTE target NUMERIC
@ATTRIBUTE negative NUMERIC
@ATTRIBUTE further NUMERIC
@ATTRIBUTE history NUMERIC
@ATTRIBUTE algorithm NUMERIC
@ATTRIBUTE medical NUMERIC
@ATTRIBUTE beta NUMERIC
@ATTRIBUTE infarction NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE main NUMERIC
@ATTRIBUTE initial NUMERIC
@ATTRIBUTE variation NUMERIC
@ATTRIBUTE black NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE survey NUMERIC
@ATTRIBUTE management NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE older NUMERIC
@ATTRIBUTE evidence NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE adjusting NUMERIC
@ATTRIBUTE event NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE sectional NUMERIC
@ATTRIBUTE stress NUMERIC
@ATTRIBUTE possible NUMERIC
@ATTRIBUTE coronary NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE relationships NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE sample NUMERIC
@ATTRIBUTE ethnic NUMERIC
@ATTRIBUTE problems NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE administration NUMERIC
@ATTRIBUTE people NUMERIC
@ATTRIBUTE poorer NUMERIC
@ATTRIBUTE maternal NUMERIC
@ATTRIBUTE errors NUMERIC
@ATTRIBUTE behaviors NUMERIC
@ATTRIBUTE survival NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE completed NUMERIC
@ATTRIBUTE interval NUMERIC
@ATTRIBUTE drug NUMERIC
@ATTRIBUTE ht NUMERIC
@ATTRIBUTE diagnosis NUMERIC
@ATTRIBUTE healthy NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE na NUMERIC
@ATTRIBUTE behavioral NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE conducted NUMERIC
@ATTRIBUTE hypertensive NUMERIC
@ATTRIBUTE transplant NUMERIC
@ATTRIBUTE system NUMERIC
@ATTRIBUTE potential NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE should NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE peer NUMERIC
@ATTRIBUTE surgery NUMERIC
@ATTRIBUTE functioning NUMERIC
@ATTRIBUTE csa NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE ol NUMERIC
@ATTRIBUTE comparison NUMERIC
@ATTRIBUTE white NUMERIC
@ATTRIBUTE insulin NUMERIC
@ATTRIBUTE performance NUMERIC
@ATTRIBUTE treatments NUMERIC
@ATTRIBUTE visual NUMERIC
@ATTRIBUTE period NUMERIC
@ATTRIBUTE Sense {M1,M2,M3,None}
@DATA
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9667791
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9494320
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9415117
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9476832
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9426087
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9426085
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9531383
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9422049
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9493739
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9460485
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9373753
