@RELATION single
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE single NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE dna NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE artery NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE binding NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE flow NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE system NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE major NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE channel NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE effective NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE b NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE method NUMERIC
@ATTRIBUTE presence NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE sav NUMERIC
@ATTRIBUTE molecular NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE differences NUMERIC
@ATTRIBUTE structure NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE obtained NUMERIC
@ATTRIBUTE phase NUMERIC
@ATTRIBUTE neurons NUMERIC
@ATTRIBUTE sequence NUMERIC
@ATTRIBUTE cdna NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE recordings NUMERIC
@ATTRIBUTE acid NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE studied NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE frequency NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE recording NUMERIC
@ATTRIBUTE d NUMERIC
@ATTRIBUTE genetic NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE mutation NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE synaptic NUMERIC
@ATTRIBUTE probe NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE some NUMERIC
@ATTRIBUTE acute NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE surgery NUMERIC
@ATTRIBUTE gdc NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE four NUMERIC
@ATTRIBUTE scfv NUMERIC
@ATTRIBUTE subjects NUMERIC
@ATTRIBUTE site NUMERIC
@ATTRIBUTE repair NUMERIC
@ATTRIBUTE containing NUMERIC
@ATTRIBUTE potassium NUMERIC
@ATTRIBUTE current NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE following NUMERIC
@ATTRIBUTE will NUMERIC
@ATTRIBUTE cm NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE important NUMERIC
@ATTRIBUTE potential NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE rates NUMERIC
@ATTRIBUTE e7 NUMERIC
@ATTRIBUTE post NUMERIC
@ATTRIBUTE r NUMERIC
@ATTRIBUTE core NUMERIC
@ATTRIBUTE kg NUMERIC
@ATTRIBUTE recognition NUMERIC
@ATTRIBUTE receptor NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE drug NUMERIC
@ATTRIBUTE new NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE proteins NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE stranded NUMERIC
@ATTRIBUTE versus NUMERIC
@ATTRIBUTE mutant NUMERIC
@ATTRIBUTE infants NUMERIC
@ATTRIBUTE tgi NUMERIC
@ATTRIBUTE population NUMERIC
@ATTRIBUTE base NUMERIC
@ATTRIBUTE conductance NUMERIC
@ATTRIBUTE several NUMERIC
@ATTRIBUTE detected NUMERIC
@ATTRIBUTE expressed NUMERIC
@ATTRIBUTE motor NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE second NUMERIC
@ATTRIBUTE show NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE 100 NUMERIC
@ATTRIBUTE approach NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE neuron NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE vitro NUMERIC
@ATTRIBUTE coronary NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE free NUMERIC
@ATTRIBUTE out NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE diagnosis NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE shp NUMERIC
@ATTRIBUTE identified NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE multiple NUMERIC
@ATTRIBUTE mrna NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE amino NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE isotope NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE examined NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE approximately NUMERIC
@ATTRIBUTE pharmacokinetic NUMERIC
@ATTRIBUTE genes NUMERIC
@ATTRIBUTE survival NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE aav NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE screw NUMERIC
@ATTRIBUTE dual NUMERIC
@ATTRIBUTE hours NUMERIC
@ATTRIBUTE placebo NUMERIC
@ATTRIBUTE should NUMERIC
@ATTRIBUTE determined NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE virus NUMERIC
@ATTRIBUTE number NUMERIC
@ATTRIBUTE transgenic NUMERIC
@ATTRIBUTE sestamibi NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE nine NUMERIC
@ATTRIBUTE brain NUMERIC
@ATTRIBUTE stent NUMERIC
@ATTRIBUTE cog NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE mouse NUMERIC
@ATTRIBUTE indicate NUMERIC
@ATTRIBUTE term NUMERIC
@ATTRIBUTE combination NUMERIC
@ATTRIBUTE hour NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE profile NUMERIC
@ATTRIBUTE cost NUMERIC
@ATTRIBUTE known NUMERIC
@ATTRIBUTE pcr NUMERIC
@ATTRIBUTE further NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE biopsy NUMERIC
@ATTRIBUTE root NUMERIC
@ATTRIBUTE comparison NUMERIC
@ATTRIBUTE doses NUMERIC
@ATTRIBUTE bp NUMERIC
@ATTRIBUTE tolerance NUMERIC
@ATTRIBUTE possible NUMERIC
@ATTRIBUTE dorsal NUMERIC
@ATTRIBUTE produced NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE myocardial NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE report NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE received NUMERIC
@ATTRIBUTE late NUMERIC
@ATTRIBUTE defect NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE healthy NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE consistent NUMERIC
@ATTRIBUTE double NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE peak NUMERIC
@ATTRIBUTE whole NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE required NUMERIC
@ATTRIBUTE whereas NUMERIC
@ATTRIBUTE target NUMERIC
@ATTRIBUTE part NUMERIC
@ATTRIBUTE complete NUMERIC
@ATTRIBUTE ventricular NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE relative NUMERIC
@ATTRIBUTE localization NUMERIC
@ATTRIBUTE t NUMERIC
@ATTRIBUTE cr NUMERIC
@ATTRIBUTE symptomatic NUMERIC
@ATTRIBUTE surgical NUMERIC
@ATTRIBUTE evidence NUMERIC
@ATTRIBUTE seven NUMERIC
@ATTRIBUTE administration NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9509597
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9360834
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9453537
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9734763
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9373314
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9383457
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9449823
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9385222
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9515739
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9671988
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9368913
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9323152
