@RELATION immunosuppression
@ATTRIBUTE of NUMERIC
@ATTRIBUTE the NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE immunosuppression NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE graft NUMERIC
@ATTRIBUTE human NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE t NUMERIC
@ATTRIBUTE immune NUMERIC
@ATTRIBUTE transplantation NUMERIC
@ATTRIBUTE csa NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE tacrolimus NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE renal NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE survival NUMERIC
@ATTRIBUTE rejection NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE infection NUMERIC
@ATTRIBUTE transplant NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE therapy NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE clinical NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE mice NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE beta NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE virus NUMERIC
@ATTRIBUTE donor NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE patient NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE portal NUMERIC
@ATTRIBUTE chronic NUMERIC
@ATTRIBUTE cyclosporine NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE hepatitis NUMERIC
@ATTRIBUTE systemic NUMERIC
@ATTRIBUTE dose NUMERIC
@ATTRIBUTE year NUMERIC
@ATTRIBUTE incidence NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE lymphocyte NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE dogs NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE serum NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE kidney NUMERIC
@ATTRIBUTE il NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE months NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE recipients NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE immunosuppressive NUMERIC
@ATTRIBUTE acute NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE days NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE skin NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE versus NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE peripheral NUMERIC
@ATTRIBUTE alpha NUMERIC
@ATTRIBUTE without NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE antigen NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE conditioned NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE fk506 NUMERIC
@ATTRIBUTE term NUMERIC
@ATTRIBUTE marrow NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE received NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE bone NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE infections NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE responses NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE lymphocytes NUMERIC
@ATTRIBUTE combination NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE proliferation NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE infected NUMERIC
@ATTRIBUTE anti NUMERIC
@ATTRIBUTE pyoderma NUMERIC
@ATTRIBUTE model NUMERIC
@ATTRIBUTE alcohol NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE production NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE drug NUMERIC
@ATTRIBUTE rats NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE mediated NUMERIC
@ATTRIBUTE pancreas NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE stress NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE allogeneic NUMERIC
@ATTRIBUTE ebv NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE pigs NUMERIC
@ATTRIBUTE up NUMERIC
@ATTRIBUTE b NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE positive NUMERIC
@ATTRIBUTE either NUMERIC
@ATTRIBUTE heart NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE effective NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE g NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE based NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE caused NUMERIC
@ATTRIBUTE does NUMERIC
@ATTRIBUTE bacterial NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE major NUMERIC
@ATTRIBUTE mg NUMERIC
@ATTRIBUTE due NUMERIC
@ATTRIBUTE host NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE detected NUMERIC
@ATTRIBUTE reported NUMERIC
@ATTRIBUTE combined NUMERIC
@ATTRIBUTE large NUMERIC
@ATTRIBUTE allografts NUMERIC
@ATTRIBUTE system NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE hiv NUMERIC
@ATTRIBUTE number NUMERIC
@ATTRIBUTE brain NUMERIC
@ATTRIBUTE women NUMERIC
@ATTRIBUTE chemotherapy NUMERIC
@ATTRIBUTE gbv NUMERIC
@ATTRIBUTE spleen NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE bowel NUMERIC
@ATTRIBUTE cancer NUMERIC
@ATTRIBUTE transplanted NUMERIC
@ATTRIBUTE against NUMERIC
@ATTRIBUTE studied NUMERIC
@ATTRIBUTE loss NUMERIC
@ATTRIBUTE animals NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE activation NUMERIC
@ATTRIBUTE following NUMERIC
@ATTRIBUTE epithelium NUMERIC
@ATTRIBUTE demonstrated NUMERIC
@ATTRIBUTE cases NUMERIC
@ATTRIBUTE reduction NUMERIC
@ATTRIBUTE viral NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE rat NUMERIC
@ATTRIBUTE death NUMERIC
@ATTRIBUTE recurrence NUMERIC
@ATTRIBUTE corticosteroids NUMERIC
@ATTRIBUTE allograft NUMERIC
@ATTRIBUTE oral NUMERIC
@ATTRIBUTE seen NUMERIC
@ATTRIBUTE vitro NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE within NUMERIC
@ATTRIBUTE rates NUMERIC
@ATTRIBUTE experimental NUMERIC
@ATTRIBUTE developed NUMERIC
@ATTRIBUTE potential NUMERIC
@ATTRIBUTE neem NUMERIC
@ATTRIBUTE over NUMERIC
@ATTRIBUTE steroids NUMERIC
@ATTRIBUTE side NUMERIC
@ATTRIBUTE deep NUMERIC
@ATTRIBUTE dst NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE lung NUMERIC
@ATTRIBUTE new NUMERIC
@ATTRIBUTE lewis NUMERIC
@ATTRIBUTE least NUMERIC
@ATTRIBUTE d NUMERIC
@ATTRIBUTE similar NUMERIC
@ATTRIBUTE factor NUMERIC
@ATTRIBUTE weeks NUMERIC
@ATTRIBUTE monoclonal NUMERIC
@ATTRIBUTE autologous NUMERIC
@ATTRIBUTE development NUMERIC
@ATTRIBUTE severe NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE scid NUMERIC
@ATTRIBUTE via NUMERIC
@ATTRIBUTE report NUMERIC
@ATTRIBUTE very NUMERIC
@ATTRIBUTE performed NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE tissue NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE even NUMERIC
@ATTRIBUTE tgf NUMERIC
@ATTRIBUTE tuberculosis NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE various NUMERIC
@ATTRIBUTE post NUMERIC
@ATTRIBUTE lymphoproliferative NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE follow NUMERIC
@ATTRIBUTE dbmc NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE postoperative NUMERIC
@ATTRIBUTE steroid NUMERIC
@ATTRIBUTE proliferative NUMERIC
@ATTRIBUTE cause NUMERIC
@ATTRIBUTE immunodeficiency NUMERIC
@ATTRIBUTE antibody NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE 100 NUMERIC
@ATTRIBUTE cd4 NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE urethral NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE numbers NUMERIC
@ATTRIBUTE fetal NUMERIC
@ATTRIBUTE tumor NUMERIC
@ATTRIBUTE because NUMERIC
@ATTRIBUTE small NUMERIC
@ATTRIBUTE cns NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE obtained NUMERIC
@ATTRIBUTE mechanisms NUMERIC
@ATTRIBUTE improved NUMERIC
@ATTRIBUTE Sense {M1,M2,None}
@DATA
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9363146
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9437494
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9662091
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9583691
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9415558
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9488418
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9710929
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9453611
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9733606
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9467982
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M2 % 9420104
